timestamp,command_id,vehicle_id,action,requested_value,applied_value,ack_status,round_trip_ms
1787935100.100,CMD_101,TRUCK_01,TARGET_SPEED,5.00,5.00,ACCEPTED,28.50
1787935102.100,CMD_102,TRUCK_01,TARGET_SPEED,25.00,10.87,CLAMPED,29.10
1787935104.100,CMD_103,TRUCK_01,HOLD,0.00,0.00,ACCEPTED,27.80
1787935106.100,CMD_104,TRUCK_01,RELEASE,0.00,0.00,ACCEPTED,28.20
1787935108.100,CMD_105,TRUCK_01,STOP,0.00,0.00,ACCEPTED,26.90
1787935110.100,CMD_106,TRUCK_02,TARGET_SPEED,4.50,4.50,ACCEPTED,29.40
1787935112.100,CMD_107,TRUCK_02,TARGET_SPEED,30.00,10.87,CLAMPED,30.10
1787935114.100,CMD_108,TRUCK_02,HOLD,0.00,0.00,ACCEPTED,28.00
1787935116.100,CMD_109,TRUCK_02,RELEASE,0.00,0.00,ACCEPTED,27.50
1787935118.100,CMD_110,TRUCK_02,STOP,0.00,0.00,ACCEPTED,28.80
1787935120.100,CMD_102,TRUCK_01,TARGET_SPEED,25.00,0.00,REJECTED,12.10
1787935122.100,CMD_111,TRUCK_01,INVALID_ACTION,0.00,0.00,REJECTED,15.20
