timestamp,scenario,road1_visibility,road1_friction,road1_capacity,road1_queue,road2_visibility,road2_friction,road2_capacity,road2_queue,shovel_queue,crusher_queue,bottleneck_score_shovel,bottleneck_score_crusher,shaping_active,shovel_delay_s,truck1_speed,truck1_pos,truck1_state,truck1_v_safe,truck1_v_command,truck1_is_loaded,tonnes_hauled
0.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
1.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
2.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
3.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
4.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
5.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
6.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
7.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
8.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
9.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
10.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
11.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
12.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
13.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
14.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
15.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
16.0,fog_recovery,15.00,0.25,1569.35,0,15.00,0.25,1343.46,0,4,0,6.00,3.33,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
