timestamp,scenario,road1_visibility,road1_friction,road1_capacity,road1_queue,road2_visibility,road2_friction,road2_capacity,road2_queue,shovel_queue,crusher_queue,bottleneck_score_shovel,bottleneck_score_crusher,shaping_active,shovel_delay_s,truck1_speed,truck1_pos,truck1_state,truck1_v_safe,truck1_v_command,truck1_is_loaded,tonnes_hauled
0.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
1.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
2.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
3.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
4.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
5.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
6.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
7.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
8.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
9.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
10.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
11.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
12.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
13.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
14.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
15.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
16.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
17.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
18.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
19.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
20.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
21.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
22.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
23.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
24.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
25.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
26.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
27.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
28.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
29.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
30.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
31.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
32.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
33.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
34.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
35.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
36.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
37.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
38.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
39.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
40.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
41.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
42.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
43.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
44.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
45.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
46.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
47.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
48.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
49.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
50.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
51.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
52.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
53.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
54.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
55.0,clear,50.00,0.60,1486.33,0,50.00,0.60,1427.68,0,4,0,6.00,6.00,0,240.0,0.00,0.00,queued,0.00,0.00,0,0.0
