step,hop,vehicle_id,visibility_m,v_safe_mps,v_command_mps,applied_speed_mps,source,origin,clock_domain,freshness,status
1,CLEAR baseline,TRUCK_01,50.0,13.89,,,DERIVED,SIMULATION,SIMULATION,CURRENT,OK
2,DENSE FOG,TRUCK_01,6.0,1.547283028994308,,,DERIVED,SIMULATION,SIMULATION,CURRENT,v_safe lowered
3,gateway refuses unsafe,TRUCK_01,6.0,1.547283028994308,6.547283028994308,,TWIN_V_SAFE,SIMULATION,SIMULATION,,REJECTED
3,gateway accepts safe,TRUCK_01,6.0,1.547283028994308,1.047283028994308,,TWIN_V_SAFE,SIMULATION,SIMULATION,,ACCEPTED
4,vehicle clamps,TRUCK_02,6.0,1.0574547300544057,5.057454730054406,1.0574547300544057,VEHICLE_LOCAL_GOVERNOR,EMULATED,WALL_CLOCK,,CLAMPED
5,telemetry -> Twin,TRUCK_02,6.0,,,1.0574547300544057,SIMULATION,UNSPECIFIED,WALL_CLOCK,CURRENT,INGESTED
9,visibility sweep,TRUCK_01,50.0,13.89,,,DERIVED,SIMULATION,SIMULATION,CURRENT,swept
9,visibility sweep,TRUCK_01,30.0,12.0,,,DERIVED,SIMULATION,SIMULATION,CURRENT,swept
9,visibility sweep,TRUCK_01,10.0,4.259535214816453,,,DERIVED,SIMULATION,SIMULATION,CURRENT,swept
9,visibility sweep,TRUCK_01,6.0,1.547283028994308,,,DERIVED,SIMULATION,SIMULATION,CURRENT,swept
9,visibility sweep,TRUCK_01,30.0,12.0,,,DERIVED,SIMULATION,SIMULATION,CURRENT,swept
9,visibility sweep,TRUCK_01,50.0,13.89,,,DERIVED,SIMULATION,SIMULATION,CURRENT,swept
